@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
7744,'2022/12/15 11:47:05:424',16,512,448,1
7745,'2022/12/15 11:47:05:434',16,514,445,1
7746,'2022/12/15 11:47:05:445',16,514,446,1
7747,'2022/12/15 11:47:05:456',16,513,449,1
7748,'2022/12/15 11:47:05:466',16,515,445,1
7749,'2022/12/15 11:47:05:477',16,512,444,1
7750,'2022/12/15 11:47:05:487',16,510,449,1
7751,'2022/12/15 11:47:05:498',16,510,449,1
7752,'2022/12/15 11:47:05:508',16,512,446,1
7753,'2022/12/15 11:47:05:520',16,510,445,1
7754,'2022/12/15 11:47:05:530',16,512,444,1
7755,'2022/12/15 11:47:05:540',16,515,447,1
7756,'2022/12/15 11:47:05:551',16,512,444,1
7757,'2022/12/15 11:47:05:560',16,512,447,1
7758,'2022/12/15 11:47:05:571',16,512,445,1
7759,'2022/12/15 11:47:05:581',16,514,443,1
7760,'2022/12/15 11:47:05:592',16,514,444,1
7761,'2022/12/15 11:47:05:603',16,513,448,1
7762,'2022/12/15 11:47:05:613',16,511,448,1
7763,'2022/12/15 11:47:05:624',16,513,446,1
7764,'2022/12/15 11:47:05:634',16,506,447,1
7765,'2022/12/15 11:47:05:645',16,509,446,1
7766,'2022/12/15 11:47:05:656',16,510,446,1
7767,'2022/12/15 11:47:05:666',16,514,447,1
7768,'2022/12/15 11:47:05:677',16,511,449,1
7769,'2022/12/15 11:47:05:687',16,511,448,1
7770,'2022/12/15 11:47:05:698',16,514,450,1
7771,'2022/12/15 11:47:05:708',16,515,445,1
7772,'2022/12/15 11:47:05:719',16,510,446,1
7773,'2022/12/15 11:47:05:729',16,511,448,1
7774,'2022/12/15 11:47:05:740',16,514,445,1
7775,'2022/12/15 11:47:05:750',16,513,448,1
7776,'2022/12/15 11:47:05:762',16,511,449,1
7777,'2022/12/15 11:47:05:772',16,511,446,1
7778,'2022/12/15 11:47:05:782',16,512,446,1
7779,'2022/12/15 11:47:05:793',16,515,447,1
7780,'2022/12/15 11:47:05:803',16,512,446,1
7781,'2022/12/15 11:47:05:814',16,509,448,1
7782,'2022/12/15 11:47:05:825',16,511,443,1
7783,'2022/12/15 11:47:05:835',16,512,445,1
7784,'2022/12/15 11:47:05:846',16,515,444,1
7785,'2022/12/15 11:47:05:856',16,513,445,1
7786,'2022/12/15 11:47:05:867',16,511,444,1
7787,'2022/12/15 11:47:05:877',16,514,447,1
7788,'2022/12/15 11:47:05:888',16,509,444,1
7789,'2022/12/15 11:47:05:899',16,510,448,1
7790,'2022/12/15 11:47:05:909',16,512,446,1
7791,'2022/12/15 11:47:05:920',16,514,448,1
7792,'2022/12/15 11:47:05:929',16,511,444,1
7793,'2022/12/15 11:47:05:940',16,510,441,1
7794,'2022/12/15 11:47:05:950',16,511,449,1
7795,'2022/12/15 11:47:05:961',16,514,445,1
7796,'2022/12/15 11:47:05:972',16,510,443,1
7797,'2022/12/15 11:47:05:982',16,514,444,1
7798,'2022/12/15 11:47:05:993',16,513,444,1
7799,'2022/12/15 11:47:06:003',16,514,443,1
7800,'2022/12/15 11:47:06:014',16,510,448,1
7801,'2022/12/15 11:47:06:025',16,511,445,1
7802,'2022/12/15 11:47:06:035',16,511,447,1
7803,'2022/12/15 11:47:06:046',16,514,448,1
7804,'2022/12/15 11:47:06:056',16,511,445,1
7805,'2022/12/15 11:47:06:067',16,510,446,1
7806,'2022/12/15 11:47:06:077',16,513,445,1
7807,'2022/12/15 11:47:06:088',16,509,445,1
7808,'2022/12/15 11:47:06:098',16,510,448,1
7809,'2022/12/15 11:47:06:109',16,515,445,1
7810,'2022/12/15 11:47:06:120',16,509,444,1
7811,'2022/12/15 11:47:06:130',16,510,446,1
7812,'2022/12/15 11:47:06:141',16,513,447,1
7813,'2022/12/15 11:47:06:151',16,508,445,1
7814,'2022/12/15 11:47:06:162',16,514,448,1
7815,'2022/12/15 11:47:06:172',16,514,448,1
7816,'2022/12/15 11:47:06:183',16,513,448,1
7817,'2022/12/15 11:47:06:193',16,510,449,1
7818,'2022/12/15 11:47:06:204',16,514,444,1
