@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
1,'2022/12/14 12:05:49:739',1,676,508,1
2,'2022/12/14 12:05:49:750',1,664,510,1
3,'2022/12/14 12:05:49:760',1,675,535,1
4,'2022/12/14 12:05:49:770',1,678,527,1
5,'2022/12/14 12:05:49:781',1,660,528,1
6,'2022/12/14 12:05:49:791',1,650,527,1
7,'2022/12/14 12:05:49:802',1,655,537,1
8,'2022/12/14 12:05:50:836',1,682,529,1
9,'2022/12/14 12:05:50:847',1,679,525,1
10,'2022/12/14 12:05:50:857',1,659,539,1
11,'2022/12/14 12:05:50:867',1,678,524,1
12,'2022/12/14 12:05:50:878',1,681,539,1
13,'2022/12/14 12:05:50:889',1,680,513,1
14,'2022/12/14 12:05:50:899',1,658,528,1
15,'2022/12/14 12:05:51:933',1,671,542,1
16,'2022/12/14 12:05:51:943',1,669,531,1
17,'2022/12/14 12:05:51:954',1,655,539,1
18,'2022/12/14 12:05:51:964',1,665,531,1
19,'2022/12/14 12:05:51:974',1,685,533,1
20,'2022/12/14 12:05:51:985',1,660,536,1
21,'2022/12/14 12:05:51:995',1,677,508,1
22,'2022/12/14 12:05:53:029',1,674,522,1
23,'2022/12/14 12:05:53:039',1,678,515,1
24,'2022/12/14 12:05:53:050',1,682,533,1
25,'2022/12/14 12:05:53:060',1,660,530,1
26,'2022/12/14 12:05:53:071',1,674,510,1
27,'2022/12/14 12:05:53:081',1,680,533,1
28,'2022/12/14 12:05:53:090',1,661,540,1
29,'2022/12/14 12:05:54:125',1,674,509,1
30,'2022/12/14 12:05:54:135',1,672,522,1
31,'2022/12/14 12:05:54:146',1,657,539,1
32,'2022/12/14 12:05:54:156',1,668,533,1
33,'2022/12/14 12:05:54:167',1,674,517,1
34,'2022/12/14 12:05:54:177',1,658,533,1
35,'2022/12/14 12:05:54:188',1,673,536,1
36,'2022/12/14 12:05:55:222',1,661,525,1
37,'2022/12/14 12:05:55:232',1,675,520,1
38,'2022/12/14 12:05:55:243',1,675,535,1
39,'2022/12/14 12:05:55:253',1,675,531,1
40,'2022/12/14 12:05:55:264',1,668,529,1
41,'2022/12/14 12:05:55:274',1,670,531,1
42,'2022/12/14 12:05:55:285',1,654,538,1
43,'2022/12/14 12:05:56:319',1,664,534,1
44,'2022/12/14 12:05:56:329',1,643,522,1
45,'2022/12/14 12:05:56:339',1,656,534,1
46,'2022/12/14 12:05:56:350',1,654,540,1
47,'2022/12/14 12:05:56:360',1,672,529,1
48,'2022/12/14 12:05:56:371',1,667,520,1
49,'2022/12/14 12:05:56:381',1,674,520,1
50,'2022/12/14 12:05:57:415',1,668,536,1
51,'2022/12/14 12:05:57:426',1,668,522,1
52,'2022/12/14 12:05:57:436',1,647,509,1
53,'2022/12/14 12:05:57:446',1,664,521,1
54,'2022/12/14 12:05:57:457',1,660,528,1
55,'2022/12/14 12:05:57:467',1,665,533,1
56,'2022/12/14 12:05:57:478',1,664,509,1
57,'2022/12/14 12:05:58:512',1,654,534,1
58,'2022/12/14 12:05:58:522',1,669,526,1
59,'2022/12/14 12:05:58:533',1,665,516,1
60,'2022/12/14 12:05:58:543',1,647,515,1
61,'2022/12/14 12:05:58:554',1,648,529,1
62,'2022/12/14 12:05:58:564',1,670,509,1
63,'2022/12/14 12:05:58:575',1,653,511,1
64,'2022/12/14 12:05:59:608',1,672,512,1
65,'2022/12/14 12:05:59:618',1,649,516,1
