@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2022/12/08 13:33:22:011',1,485,448,1
2,'2022/12/08 13:33:22:021',1,473,452,1
3,'2022/12/08 13:33:22:030',1,479,453,1
4,'2022/12/08 13:33:22:039',1,483,457,1
5,'2022/12/08 13:33:22:049',1,481,452,1
6,'2022/12/08 13:33:22:058',1,477,454,1
7,'2022/12/08 13:33:22:068',1,482,459,1
8,'2022/12/08 13:33:22:087',1,480,448,1
9,'2022/12/08 13:33:22:088',1,480,448,1
10,'2022/12/08 13:33:22:114',1,475,458,1
11,'2022/12/08 13:33:22:115',1,475,458,1
12,'2022/12/08 13:33:22:133',1,479,456,1
13,'2022/12/08 13:33:22:143',1,480,452,1
14,'2022/12/08 13:33:22:152',1,481,456,1
15,'2022/12/08 13:33:22:162',1,478,454,1
16,'2022/12/08 13:33:22:172',1,484,457,1
17,'2022/12/08 13:33:22:181',1,478,447,1
18,'2022/12/08 13:33:22:190',1,477,452,1
19,'2022/12/08 13:33:22:200',1,480,453,1
20,'2022/12/08 13:33:22:209',1,483,455,1
21,'2022/12/08 13:33:22:218',1,479,461,1
22,'2022/12/08 13:33:22:228',1,481,451,1
23,'2022/12/08 13:33:22:237',1,483,458,1
24,'2022/12/08 13:33:22:247',1,483,452,1
25,'2022/12/08 13:33:22:265',1,480,457,1
26,'2022/12/08 13:33:22:266',1,480,457,1
27,'2022/12/08 13:33:22:284',1,478,449,1
28,'2022/12/08 13:33:22:293',1,478,454,1
29,'2022/12/08 13:33:22:303',1,479,456,1
30,'2022/12/08 13:33:22:312',1,473,451,1
31,'2022/12/08 13:33:22:321',1,480,452,1
32,'2022/12/08 13:33:22:331',1,479,457,1
33,'2022/12/08 13:33:22:340',1,476,453,1
34,'2022/12/08 13:33:22:350',1,478,452,1
35,'2022/12/08 13:33:22:359',1,480,449,1
36,'2022/12/08 13:33:22:368',1,486,449,1
37,'2022/12/08 13:33:22:378',1,485,456,1
38,'2022/12/08 13:33:22:387',1,474,455,1
39,'2022/12/08 13:33:22:397',1,487,457,1
40,'2022/12/08 13:33:22:415',1,478,450,1
41,'2022/12/08 13:33:22:425',1,481,457,1
42,'2022/12/08 13:33:22:434',1,486,452,1
43,'2022/12/08 13:33:22:443',1,485,450,1
44,'2022/12/08 13:33:22:453',1,474,452,1
45,'2022/12/08 13:33:22:462',1,482,460,1
46,'2022/12/08 13:33:22:472',1,480,456,1
47,'2022/12/08 13:33:22:481',1,477,459,1
48,'2022/12/08 13:33:22:490',1,483,447,1
49,'2022/12/08 13:33:22:500',1,484,451,1
50,'2022/12/08 13:33:22:509',1,479,457,1
51,'2022/12/08 13:33:22:518',1,477,451,1
52,'2022/12/08 13:33:22:528',1,484,456,1
53,'2022/12/08 13:33:22:538',1,482,460,1
54,'2022/12/08 13:33:22:547',1,487,455,1
55,'2022/12/08 13:33:22:565',1,481,454,1
56,'2022/12/08 13:33:22:575',1,484,460,1
57,'2022/12/08 13:33:22:584',1,486,452,1
58,'2022/12/08 13:33:22:593',1,479,451,1
59,'2022/12/08 13:33:22:603',1,477,455,1
60,'2022/12/08 13:33:22:612',1,474,452,1
61,'2022/12/08 13:33:22:622',1,480,461,1
62,'2022/12/08 13:33:22:630',1,477,450,1
63,'2022/12/08 13:33:22:639',1,484,454,1
64,'2022/12/08 13:33:22:649',1,477,451,1
65,'2022/12/08 13:33:22:659',1,477,451,1
66,'2022/12/08 13:33:22:669',1,481,460,1
67,'2022/12/08 13:33:22:678',1,479,457,1
68,'2022/12/08 13:33:22:688',1,485,452,1
69,'2022/12/08 13:33:22:697',1,485,459,1
70,'2022/12/08 13:33:22:715',1,482,450,1
71,'2022/12/08 13:33:22:725',1,476,451,1
72,'2022/12/08 13:33:22:733',1,474,453,1
73,'2022/12/08 13:33:22:743',1,481,452,1
74,'2022/12/08 13:33:22:752',1,487,453,1
75,'2022/12/08 13:33:22:761',1,478,454,1
76,'2022/12/08 13:33:22:771',1,481,456,1
77,'2022/12/08 13:33:22:781',1,476,449,1
78,'2022/12/08 13:33:22:789',1,481,459,1
79,'2022/12/08 13:33:22:800',1,485,455,1
80,'2022/12/08 13:33:22:809',1,481,447,1
81,'2022/12/08 13:33:22:819',1,485,451,1
82,'2022/12/08 13:33:22:828',1,478,447,1
83,'2022/12/08 13:33:22:837',1,483,446,1
84,'2022/12/08 13:33:22:856',1,478,450,1
85,'2022/12/08 13:33:22:856',1,478,450,1
86,'2022/12/08 13:33:22:884',1,474,454,1
87,'2022/12/08 13:33:22:885',1,474,454,1
88,'2022/12/08 13:33:22:912',1,479,453,1
89,'2022/12/08 13:33:22:912',1,479,453,1
90,'2022/12/08 13:33:22:930',1,481,454,1
91,'2022/12/08 13:33:22:940',1,476,452,1
92,'2022/12/08 13:33:22:949',1,476,452,1
93,'2022/12/08 13:33:22:959',1,477,451,1
94,'2022/12/08 13:33:22:968',1,483,458,1
95,'2022/12/08 13:33:22:977',1,479,449,1
96,'2022/12/08 13:33:22:987',1,483,453,1
97,'2022/12/08 13:33:22:996',1,485,456,1
98,'2022/12/08 13:33:23:005',1,479,455,1
99,'2022/12/08 13:33:23:015',1,486,455,1
100,'2022/12/08 13:33:23:024',1,480,459,1
101,'2022/12/08 13:33:23:034',1,481,452,1
102,'2022/12/08 13:33:23:043',1,474,460,1
103,'2022/12/08 13:33:23:053',1,480,451,1
104,'2022/12/08 13:33:23:071',1,483,456,1
105,'2022/12/08 13:33:23:081',1,485,451,1
106,'2022/12/08 13:33:23:090',1,483,461,1
107,'2022/12/08 13:33:23:099',1,478,456,1
108,'2022/12/08 13:33:23:109',1,485,455,1
109,'2022/12/08 13:33:23:118',1,478,456,1
110,'2022/12/08 13:33:23:128',1,486,452,1
111,'2022/12/08 13:33:23:137',1,475,453,1
112,'2022/12/08 13:33:23:146',1,471,453,1
113,'2022/12/08 13:33:23:156',1,483,460,1
114,'2022/12/08 13:33:23:165',1,478,454,1
115,'2022/12/08 13:33:23:184',1,477,453,1
116,'2022/12/08 13:33:23:184',1,477,453,1
117,'2022/12/08 13:33:23:212',1,478,450,1
118,'2022/12/08 13:33:23:213',1,478,450,1
119,'2022/12/08 13:33:23:240',1,482,459,1
120,'2022/12/08 13:33:23:241',1,482,459,1
121,'2022/12/08 13:33:28:407',2,544,485,1
122,'2022/12/08 13:33:28:408',2,544,485,1
123,'2022/12/08 13:33:28:426',2,547,495,1
124,'2022/12/08 13:33:28:435',2,545,499,1
125,'2022/12/08 13:33:28:444',2,538,494,1
126,'2022/12/08 13:33:28:454',2,543,493,1
127,'2022/12/08 13:33:28:463',2,548,495,1
128,'2022/12/08 13:33:28:473',2,549,489,1
129,'2022/12/08 13:33:28:482',2,549,492,1
130,'2022/12/08 13:33:28:491',2,549,500,1
131,'2022/12/08 13:33:28:501',2,550,488,1
132,'2022/12/08 13:33:28:510',2,545,499,1
133,'2022/12/08 13:33:28:520',2,547,491,1
